title,rating,year,actors,runtime,url
Animal Crackers,7.5,1930,Groucho Marx;Harpo Marx;Chico Marx;The Marx Brothers,97,https://www.imdb.com/title/tt0020640/
Hell's Angels,7.3,1930,Edmund Goulding;James Whale;Ben Lyon;James Hall;Jean Harlow;John Darrow,127,https://www.imdb.com/title/tt0020960/
Der blaue Engel,7.7,1930,Emil Jannings;Marlene Dietrich;Kurt Gerron;Rosa Valetti,104,https://www.imdb.com/title/tt0020697/
Zemlya,7.3,1930,Stepan Shkurat;Semyon Svashenko;Yuliya Solntseva;Yelena Maksimova,75,https://www.imdb.com/title/tt0021571/
L'âge d'or,7.3,1930,Gaston Modot;Lya Lys;Caridad de Laberdesque;Max Ernst,60,https://www.imdb.com/title/tt0021577/
All Quiet on the Western Front,8.1,1930,Lew Ayres;Louis Wolheim;John Wray;Arnold Lucy,152,https://www.imdb.com/title/tt0020629/
Dr. Jekyll and Mr. Hyde,7.6,1931,Fredric March;Miriam Hopkins;Rose Hobart;Holmes Herbert,98,https://www.imdb.com/title/tt0022835/
Dracula de vampier,7.5,1931,Karl Freund;Bela Lugosi;Helen Chandler;David Manners;Dwight Frye,75,https://www.imdb.com/title/tt0021814/
Monkey Business,7.5,1931,Groucho Marx;Harpo Marx;The Marx Brothers;Chico Marx,77,https://www.imdb.com/title/tt0022158/
Taboe,7.5,1931,Anne Chevalier;Matahi;Hitu;Bill Bambridge,86,https://www.imdb.com/title/tt0022458/
The Public Enemy,7.7,1931,James Cagney;Jean Harlow;Edward Woods;Joan Blondell,83,https://www.imdb.com/title/tt0022286/
City Lights,8.5,1931,Charles Chaplin;Virginia Cherrill;Florence Lee;Harry Myers,87,https://www.imdb.com/title/tt0021749/
Frankenstein,7.8,1931,Colin Clive;Mae Clarke;Boris Karloff;John Boles,70,https://www.imdb.com/title/tt0021884/
M - Eine Stadt sucht einen Mörder,8.3,1931,Peter Lorre;Ellen Widmann;Inge Landgut;Otto Wernicke,117,https://www.imdb.com/title/tt0022100/
Trouble in Paradise (De firma Adam & Eva),8.0,1932,Miriam Hopkins;Kay Francis;Herbert Marshall;Charles Ruggles,83,https://www.imdb.com/title/tt0023622/
Otona no miru ehon - Umarete wa mita keredo,8.0,1932,Tatsuo Saitô;Tomio Aoki;Mitsuko Yoshikawa;Hideo Sugawara,100,https://www.imdb.com/title/tt0023634/
Horse Feathers,7.6,1932,Groucho Marx;Chico Marx;Harpo Marx;The Marx Brothers,68,https://www.imdb.com/title/tt0023027/
Shanghai Express,7.4,1932,Marlene Dietrich;Clive Brook;Anna May Wong;Warner Oland,82,https://www.imdb.com/title/tt0023458/
Grand Hotel,7.4,1932,Greta Garbo;John Barrymore;Joan Crawford;Wallace Beery,112,https://www.imdb.com/title/tt0022958/
Freaks,7.9,1932,Wallace Ford;Leila Hyams;Olga Baclanova;Roscoe Ates,64,https://www.imdb.com/title/tt0022913/
Scarface,7.8,1932,Richard Rosson;Paul Muni;Ann Dvorak;Karen Morley;Osgood Perkins,93,https://www.imdb.com/title/tt0023427/
Island of Lost Souls,7.4,1932,Charles Laughton;Bela Lugosi;Richard Arlen;Leila Hyams,70,https://www.imdb.com/title/tt0024188/
Ik ben een vluchteling,8.2,1932,Paul Muni;Glenda Farrell;Helen Vinson;Noel Francis,92,https://www.imdb.com/title/tt0023042/
Le sang d'un poète,7.4,1932,Enrique Rivero;Elizabeth Lee Miller;Pauline Carton;Odette Talazac,55,https://www.imdb.com/title/tt0021331/
Boudu sauvé des eaux,7.3,1932,Michel Simon;Marcelle Hainia;Sévérine Lerczinska;Jean Gehret,85,https://www.imdb.com/title/tt0022718/
Vampyr,7.5,1932,Julian West;Maurice Schutz;Rena Mandel;Sybille Schmitz,75,https://www.imdb.com/title/tt0023649/
King Kong,7.9,1933,Ernest B. Schoedsack;Fay Wray;Robert Armstrong;Bruce Cabot;Frank Reicher,100,https://www.imdb.com/title/tt0024216/
Liefde en-gros,7.5,1933,Fredric March;Gary Cooper;Miriam Hopkins;Edward Everett Horton,91,https://www.imdb.com/title/tt0023940/
42nd Street,7.4,1933,Warner Baxter;Bebe Daniels;George Brent;Ruby Keeler,89,https://www.imdb.com/title/tt0024034/
De onzichtbare man,7.7,1933,Claude Rains;Gloria Stuart;William Harrigan;Henry Travers,71,https://www.imdb.com/title/tt0024184/
Sons of the Desert,7.6,1933,Stan Laurel;Oliver Hardy;Charley Chase;Mae Busch,68,https://www.imdb.com/title/tt0024601/
Baby Face,7.6,1933,Barbara Stanwyck;George Brent;Donald Cook;Alphonse Ethier,71,https://www.imdb.com/title/tt0023775/
De dictator,7.8,1933,Groucho Marx;Harpo Marx;Chico Marx;Zeppo Marx,69,https://www.imdb.com/title/tt0023969/
Gold Diggers of 1933,7.7,1933,Warren William;Joan Blondell;Aline MacMahon;Ruby Keeler,97,https://www.imdb.com/title/tt0024069/
Das Testament des Dr. Mabuse,8.0,1933,Rudolf Klein-Rogge;Otto Wernicke;Thomy Bourdelle;Gustav Diessl,122,https://www.imdb.com/title/tt0023563/
Footlight Parade,7.6,1933,James Cagney;Joan Blondell;Ruby Keeler;Dick Powell,104,https://www.imdb.com/title/tt0024028/
Dinner at Eight,7.6,1933,Marie Dressler;John Barrymore;Wallace Beery;Jean Harlow,111,https://www.imdb.com/title/tt0023948/
Queen Christina,7.6,1933,Greta Garbo;John Gilbert;Ian Keith;Lewis Stone,99,https://www.imdb.com/title/tt0024481/
The Gay Divorcee,7.5,1934,Fred Astaire;Ginger Rogers;Alice Brady;Edward Everett Horton,107,https://www.imdb.com/title/tt0025164/
Twentieth Century,7.4,1934,John Barrymore;Carole Lombard;Walter Connolly;Roscoe Karns,91,https://www.imdb.com/title/tt0025919/
Tsarina van Rusland,7.6,1934,Marlene Dietrich;John Lodge;Sam Jaffe;Louise Dresser,104,https://www.imdb.com/title/tt0025746/
Het gebeurde op 'n avond,8.1,1934,Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns,105,https://www.imdb.com/title/tt0025316/
The Thin Man,8.0,1934,William Powell;Myrna Loy;Maureen O'Sullivan;Nat Pendleton,91,https://www.imdb.com/title/tt0025878/
L'Atalante,7.8,1934,Dita Parlo;Jean Dasté;Gilles Margaritis;Louis Lefebvre,89,https://www.imdb.com/title/tt0024844/
Bride of Frankenstein,7.8,1935,Boris Karloff;Elsa Lanchester;Colin Clive;Valerie Hobson,75,https://www.imdb.com/title/tt0026138/
A Tale of Two Cities,7.8,1935,Robert Z. Leonard;Ronald Colman;Elizabeth Allan;Edna May Oliver;Reginald Owen,128,https://www.imdb.com/title/tt0027075/
Mutiny on the Bounty,7.7,1935,Charles Laughton;Clark Gable;Franchot Tone;Herbert Mundin,132,https://www.imdb.com/title/tt0026752/
Het complot der 39 stappen,7.7,1935,Robert Donat;Madeleine Carroll;Lucie Mannheim;Godfrey Tearle,86,https://www.imdb.com/title/tt0026029/
Top Hat,7.8,1935,Fred Astaire;Ginger Rogers;Edward Everett Horton;Erik Rhodes,101,https://www.imdb.com/title/tt0027125/
The Informer,7.4,1935,Victor McLaglen;Heather Angel;Preston Foster;Margot Grahame,91,https://www.imdb.com/title/tt0026529/
